XCoord,YCoord,FID,accessType,NAME,xcoord_cen,ycoord_cen
324431.95000000,675106.82000000,175,Pedestrian,Inverleith Park,-3.212071,55.962998
320310.27000000,675117.22000000,176,Pedestrian,Corstorphine Hill,-3.278078,55.962424
320085.22000000,675172.12000000,177,Pedestrian,Davidsons Mains Park,-3.281698,55.962879
323846.73000000,675202.19000000,178,Pedestrian,Inverleith Park,-3.221470,55.963762
323870.20910000,675202.53970000,179,Pedestrian,Inverleith Park,-3.221094,55.963769
324016.07990000,675258.36990000,180,Pedestrian,Inverleith Park,-3.218773,55.964294
324403.84000000,675272.63000000,181,Pedestrian,Royal Botanic Gardens,-3.212567,55.964483
320361.79000000,675313.25000000,182,Pedestrian,Davidsons Mains Park,-3.277311,55.964193
320218.15000000,675363.60000000,183,Pedestrian,Davidsons Mains Park,-3.279626,55.964621
320323.52010000,675378.09930000,184,Pedestrian,Davidsons Mains Park,-3.277943,55.964769
324440.66030000,675550.08940000,185,Pedestrian,Royal Botanic Gardens,-3.212056,55.966981
327455.76000000,675775.04000000,186,Pedestrian,Leith Links,-3.163827,55.969467
327532.82000000,675790.79010001,187,Pedestrian,Leith Links,-3.162597,55.969620
327660.54000000,675820.10000000,188,Pedestrian,Leith Links,-3.160559,55.969902
327233.10970000,675910.46010000,189,Pedestrian,Leith Links,-3.167429,55.970649
327342.90000000,675931.99000000,190,Pedestrian,Leith Links,-3.165677,55.970860
327349.19000000,675959.50000000,191,Pedestrian,Leith Links,-3.165583,55.971108
327386.22000000,675964.05000000,192,Pedestrian,Leith Links,-3.164991,55.971154
327255.58990000,675995.68010000,193,Pedestrian,Leith Links,-3.167092,55.971418
327526.75000000,676066.95000000,194,Pedestrian,Leith Links,-3.162768,55.972100
327336.61000000,676157.33000000,195,Pedestrian,Leith Links,-3.165838,55.972883
321756.73000000,677060.89000000,196,Pedestrian,Gypsy Brae Recreation Ground,-3.255481,55.980121
321496.70000000,677073.63000000,197,Pedestrian,Gypsy Brae Recreation Ground,-3.259651,55.980193
322011.14000000,677417.73000000,198,Pedestrian,Gypsy Brae Recreation Ground,-3.251509,55.983367
322907.09960000,670267.66810000,199,Pedestrian,Wester Craiglockhart Hill,-3.235104,55.919287
320272.42000000,675818.66010000,200,Pedestrian,Lauriston Castle,-3.278892,55.968718
320776.76960000,676895.06230000,201,Pedestrian,Cramond Foreshore,-3.271132,55.978470
327336.42740000,672474.60270000,202,Pedestrian,Duddingston Loch and Bird Sanctuary,-3.164847,55.939802
327384.34990000,672454.15300000,203,Pedestrian,Duddingston Loch and Bird Sanctuary,-3.164074,55.939625
328611.10980000,672165.71289999,204,Pedestrian,Duddingston Loch and Bird Sanctuary,-3.144364,55.937218
