X,Y,DataZone,SUM_Recrea,Rank_1,Quintile,Nearest_gr,Parks_acce,Shape_Leng,Shape_Area,datazone_name
319984.9666,671491.5,S01008471,1.23,252,2,11,Sighthill Park,2059.323905,112547.2161,Broomhouse and Bankhead - 04
320467.6499,671418.856,S01008472,2.65,408,3,16,"Sighthill Park,Hailes Quarry Park",2677.46473,226721.5208,Broomhouse and Bankhead - 05
320795.1975,671490.5,S01008473,0,1,1,0,,2147.120948,92240.51241,Stenhouse and Saughton Mains - 01
320739.7939,671790.5215,S01008474,2.75,425,3,1,Saughton Park,1927.576361,139598.0911,Stenhouse and Saughton Mains - 02
321171.5277,671764,S01008475,2.75,425,3,18,Saughton Park,2473.81462,91988.15564,Stenhouse and Saughton Mains - 03
321279.0956,671953.5,S01008476,2.75,425,3,38,Saughton Park,1444.868466,93797.2565,Stenhouse and Saughton Mains - 04
321603.2892,672189,S01008477,5.06,525,5,50,"Corstorphine Hill,Saughton Park",2228.270672,119099.6473,Stenhouse and Saughton Mains - 05
321985.1973,671892,S01008478,2.75,425,3,48,Saughton Park,4121.962698,327571.9384,Stenhouse and Saughton Mains - 06
321637.4398,671705.2575,S01008479,2.75,425,3,48,Saughton Park,2465.008401,149007.4674,Stenhouse and Saughton Mains - 07
321087.1077,671556.5,S01008480,2.75,425,3,9,Saughton Park,1578.95768,80909.45393,Stenhouse and Saughton Mains - 08
321086.3318,671215.231,S01008481,4.17,508,4,36,"Hailes Quarry Park,Saughton Park",3191.935762,337472.0149,Longstone and Saughton - 01
321320.6773,670907.5,S01008482,1.42,256,2,19,Hailes Quarry Park,1710.477466,91619.52627,Longstone and Saughton - 02
321023.0452,670514.5,S01008483,3.67,487,4,25,"Hailes Quarry Park,Colinton & Craiglockhart Dells",1498.194725,63507.3045,Longstone and Saughton - 03
321273.97,670522.5,S01008484,3.67,487,4,28,"Hailes Quarry Park,Colinton & Craiglockhart Dells",2407.4416,176313.765,Longstone and Saughton - 04
321719.1978,670723.5,S01008485,3.67,487,4,11,"Hailes Quarry Park,Colinton & Craiglockhart Dells",2190.456582,228523.7528,Longstone and Saughton - 05
